title,profile_url,profile_http_status,profile_image_url,image_host,image_http_status,image_source,biography_available,notes
সুকান্ত সিংহ,https://ningshingche.com/author/%E0%A6%B8%E0%A7%81%E0%A6%95%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhGH7bQYuDSsEyRM4u9OVsnK8b7VibniG5uGqBLY2SN-4orEROolj7HY-kcdV-9eNaa6ICsI7g13K3vPlzT2nz9WopI3BkaC2s50qyfKS3RMk0KS7nb8NDwD2473n6zWadzZc3Zso0JKGnkY56Co6U188qVqVa1OGT5Jlcxr14m8hc4Q4Cj1vppLNIS6CvG/s265/sukanta-singha-profile.png,blogger.googleusercontent.com,200,Blogger,yes,
কুঙ্গ থাঙ,https://ningshingche.com/author/%E0%A6%95%E0%A7%81%E0%A6%99%E0%A7%8D%E0%A6%97%20%E0%A6%A5%E0%A6%BE%E0%A6%99,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEilCwmdXoZc2nc_Afwo1TRhdeX4qgsT2H-r31U65-vSIJJ-5uJ8aC7qdkbH9EvVqfpj0vL0SW93C4iPKAYu0bQSsObM-w6XL085zUZf4EHiT_GqID0j-33TmgzuLZWFfecSn-3lv-p20Mbda5hAv28N9TR3NuwQvRffM__7QWe8VB3b8H34FFmmFG11A1n8/s1024/male-author-placeholder.png,blogger.googleusercontent.com,200,Blogger,yes,Source profile uses a Blogger-hosted placeholder image.
অপর্ণা সিংহ,https://ningshingche.com/author/%E0%A6%85%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%BE%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEidUU7bP5UxXMwet4JYgbnjY4Ia1JcVnwP6JcRjW0mEm_CgfY7WjhJinNwutr5UoblhpLInS1Cyz9N1s1bfMJGGMR-zZ8ip8hTuUjft7XrG6xd09Lw0_695tnd3w6LTrsHQTKTcPSuVKbXcK5eZkboMoidcILo4tTzZ9DUy8bazVnmkZDOiiKunivsoBNek/s600/Aporna-Sinha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
পলাশ সিংহ হিমাদ্র,https://ningshingche.com/author/%E0%A6%AA%E0%A6%B2%E0%A6%BE%E0%A6%B6%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9%20%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%B0,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEha5xeDh4rTXNUxrPXBscluZdlXpfkHM1yqoIgiEuImGH8iJ-rJuQNpiC92dnxuD8q6td-Ab-9Du5bRdL2nQR71IBSnmRj3T7G28udfsSYpAhrHRr1N6rHS8pr2R7sHji4_0c3S-yfOF9Ofw9U7uWsyun2tENOJO0FJWTAkRTRf0g_725NdApXz5qmOj0gY/s773/Polash-Singha-Himadra.png,blogger.googleusercontent.com,200,Blogger,yes,
অরুন কুমার সিংহ,https://ningshingche.com/author/%E0%A6%85%E0%A6%B0%E0%A7%81%E0%A6%A8%20%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj6ZFLYYbTXsNzqMWxPbYCQzIvP5R3CxbgukpkV6rL42Bx4huuNRJgIRvHn2lyWLTtbgzrnrCpU7H2M2vOqHBDqjFiUUBifLfTP9oE6xRqevPMY_1xDO5zcX6TL0KcXt7N4ZXhQAk0Hs2DMQjhHD1HFgTYWB31tMPUEcJqT51Pgs1Xm0x4XIeiRqclpFreT/s1104/Arun-Kumar-Singha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
সুরজিত সিংহ শিশির,https://ningshingche.com/author/%E0%A6%B8%E0%A7%81%E0%A6%B0%E0%A6%9C%E0%A6%BF%E0%A6%A4%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9%20%E0%A6%B6%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%B0,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg2X4vQgCkkLyllys1YESSzrcXhyphenhyphen-a9kurYS2r6jzgZlBieLYgGgQg9pwSvxgIdUiK0rTBFll__-LmIl1G8lT7oe7zZmBiJBiOcmSXfeL845YthA_yDzyvMUPnerUBMUEv7pXwM9ybiwwlFpEVWXsJLwadOKjget9sfi6RGl9TmZyXX8wyXahyphenhyphenL01mKK1ZH/s533/Surajit-Singha-Sisir-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
শ্রী নবকুমার সিংহ,https://ningshingche.com/author/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%20%E0%A6%A8%E0%A6%AC%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh5OIceRbWThmZjAifJ69-D8vt1DwGFbNg4EfSy0VW7t97R0ExSinf0O8ESK8GtxpTjmqwhY7wiBg6Vx3JKGMeN9L2Yy6HOo0ehPdQMz8hz3BQU_-0huNOmfVZawvglcIQXYcI37bVtEZ1xYNU8xfT97RvOhnrCBXNwPt8Ci5_bYlfHIyXOiOpIO9vnk0fJ/s877/Adobe%20Express%20-%20file.png,blogger.googleusercontent.com,200,Blogger,yes,
ইমন সিংহ,https://ningshingche.com/author/%E0%A6%87%E0%A6%AE%E0%A6%A8%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlYiSutYf97IvlPpk8rQirUEpJPmdcEp8xCeLgk7pbI6GVzjJ5LEgvL5Vjj8xfdY7P3jcPyVzGfAB-fPldHiYxqJ4VgZioNNYzw0UvUC5rwVvqy6h7TZw7eRECE0Z6H4EKccR3DAgjMfFRloLPNLt3-8k73sc2GxSIqSWdUeEd5-HLePV_y566Qw_jjPRR/s531/Emon-Singha-Profile.jpg,blogger.googleusercontent.com,200,Blogger,yes,
ডা. স্বপন কুমার সিংহ,https://ningshingche.com/author/%E0%A6%A1%E0%A6%BE.%20%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A6%A8%20%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdaoM8FqFZVgWzWoK3L4nza6SJBJEOw_OlKvrfyWIrq5Su2HEQjCkJceUrmICinHYIZ9hDxCPVQMbth0J0wSHPTJ35XjmUJZRxLPkz2nBFGGF7KaIW458ieQHwmq3xOJ_UNxH8zzV0c6RgzLsU7Mu8ufKw3mVDYmKUB2kxV5F4FOFWIRHRSr2XyKBEdOa4/s511/Dr.-Swapan-Kumar-Singha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
দেবাঞ্জলি সিন্‌হা,https://ningshingche.com/author/%E0%A6%A6%E0%A7%87%E0%A6%AC%E0%A6%BE%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A6%B2%E0%A6%BF%20%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A7%8D%E2%80%8C%E0%A6%B9%E0%A6%BE,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiIydsi7bYS264RbmYiV8ziAs-Rj9jsiEo2kD1t6p2in5Fx1N1eHYB5Hz3amrSNS1sqcm8zawujAlufaqdLCfRmA_ju5xlikkhrdI3wz9hJs6qUa22s3o0IdLL38mTR1bOHyP9cpcSCB5hZOWvQAKPrABSMW6JeIFDx2GSP-7PKQF_q75U8gWQLORFGBOEF/s574/upscalemedia-transformed%20(2).png,blogger.googleusercontent.com,200,Blogger,yes,
শ্রীহেমন্ত কুমার সিংহ,https://ningshingche.com/author/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%B9%E0%A7%87%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%20%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiIESQ7-0EBma8T7eDnsrfLbHQQRs1b00v1i-6pNiUJ1-T0sXpm_yDehyphenhyphen7TXo5XFlLbH7R_gOBEm_AZWuDabLu_6sihbsDUBq11V_59m25OiaTa3fJG_QOIIICrFCu63_Q5gqiLPGeWI_WHSvugRnash4Ik_kgqpPvQh41g4yYlVuhMjq4KxguZldSd4AWP/s1536/Shri-Hemata-Kumar-Singha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
সতীর্থ সিনহা,https://ningshingche.com/author/%E0%A6%B8%E0%A6%A4%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%A5%20%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%B9%E0%A6%BE,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi_kUBhX6Mgyng7y3Lo3is2EhjBUp0TzdE0sElI_LaUsQKdS8nE2YBHSN8CW0Aqd1w_C8S1kgIpPlpaCnYIZkZhWDiwrgO4O1RcVxO5ZjB0g9tHCNRgjgRujDS_ixWG13O-lMT9PnrBpAdQMNtKCSIuFX-GyAvLX-RkqUjmc4runDD1XlrporbP1v6mtxEv/s1200/Satirtha-Singha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
কাজল সিংহ,https://ningshingche.com/author/%E0%A6%95%E0%A6%BE%E0%A6%9C%E0%A6%B2%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhxUvVUukxlAFt1b8yccYx9TO_lKoUTGRpOSM23B-IBUqiiAtjKvPsXIRdx_bOtGmnx-RuEu2t62pRHaySRBNYLzr1vXBzPmbUXJQ_y1uv7JJYquKYHJwK-LrfnGaqCx2rSePqE2C_nYyo_6o3fwo9peDytHKGljCCZhTJ4aD0vYaeGRXeo7ogC4U2u278p/s519/Asset_1-removebg-preview.png,blogger.googleusercontent.com,200,Blogger,yes,
দিপা সিনহা,https://ningshingche.com/author/%E0%A6%A6%E0%A6%BF%E0%A6%AA%E0%A6%BE%20%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%B9%E0%A6%BE,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgYMe2kW5hI2eP4ZrMUn6whk1BwCMnVKOUVrEn2qsXAS9nnHZHw4XQ1WGz1r378W3CDrGbScL3fnOZrNGqos8NFslDif7WGuEOWOtNND3HrH6I8IMS3VqBVonRo2f-MHS2bHYGPO0rjsWBHVnnNY7CVGlyWTCpaJkzAwASNk2_m3sqewAfdvUo9ze4PPHtI/s1200/Dipa-Sinha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
উত্তম কুমার সিংহ,https://ningshingche.com/author/%E0%A6%89%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%AE%20%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgHhJqkIHB0iEHbPlmgseLcOheqzmsN8Z4ereNL3sRk5ORjOJsI0nMd7rR-736O-jC3tWFkA574sMYkuqfKal6sytKZogCQNEbHpbhGLWQrs4cn3Rc8VC5wY7fh_gYBVM3SfYpFHzA5731hyCtRkKh1ye6iAlyMruCmIQvsCwIslSPMkoGFOfxl3dAW7o9Y/s1200/Kumar-U-Sinha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
সুজিতা সিনহা,https://ningshingche.com/author/%E0%A6%B8%E0%A7%81%E0%A6%9C%E0%A6%BF%E0%A6%A4%E0%A6%BE%20%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%B9%E0%A6%BE,200,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhh8afb7-KJCMBzHz_cDHcrR7rSVdt28xxkeaofjSa3KyElFVQGCPybgYRVYwJMRNZXNEi-cLRewsq6xPd3DhfIFGnhpwgV8flTmKE3-ZdZLIJ9bmz4D0SoIa98hgTwsTXIHAnSeMir7isxlVlsGhApV4HEPmv4Dc_LQw-v8LOeYb498XJ8jm-K-tGXzxy2/s1200/Sujita-Sinha-Profile.png,blogger.googleusercontent.com,200,Blogger,yes,
শুভাশিস সিনহা,https://ningshingche.com/author/%E0%A6%B6%E0%A7%81%E0%A6%AD%E0%A6%BE%E0%A6%B6%E0%A6%BF%E0%A6%B8%20%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%B9%E0%A6%BE,200,https://surajit-singha-sisir.github.io/NingshingCheNew/profiles/Subhasish Singha Samir.png,surajit-singha-sisir.github.io,200,GitHub Pages,yes,"Source profile exposes this GitHub URL, not a Blogger URL; canonical source preserved."
অর্চনা সিংহ,https://ningshingche.com/author/%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%A8%E0%A6%BE%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://surajit-singha-sisir.github.io/NingshingCheNew/profiles/Archana Sinha.png,surajit-singha-sisir.github.io,200,GitHub Pages,yes,"Source profile exposes this GitHub URL, not a Blogger URL; canonical source preserved."
আব্দুল গাফফার রনি,https://ningshingche.com/author/%E0%A6%86%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%81%E0%A6%B2%20%E0%A6%97%E0%A6%BE%E0%A6%AB%E0%A6%AB%E0%A6%BE%E0%A6%B0%20%E0%A6%B0%E0%A6%A8%E0%A6%BF,200,https://surajit-singha-sisir.github.io/NingshingCheNew/profiles/Abdul Gaffar Roni.png,surajit-singha-sisir.github.io,200,GitHub Pages,no,"Source profile has no biography (renders None); left blank without invention. Source profile exposes this GitHub URL, not a Blogger URL; canonical source preserved."
গীতশ্রী শ্রীচন্দ্র মোহন সিংহ,https://ningshingche.com/author/%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%20%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%20%E0%A6%AE%E0%A7%8B%E0%A6%B9%E0%A6%A8%20%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9,200,https://surajit-singha-sisir.github.io/NingshingCheNew/profiles/Chandra Mohon Singha.png,surajit-singha-sisir.github.io,200,GitHub Pages,yes,"Source profile exposes this GitHub URL, not a Blogger URL; canonical source preserved."
