blog_slug,blog_id,name,email,phone,address,content,status
মণিপুরী-সংকীর্তন-ধনকৃষ্ণ-অধিকারী,,সংস্কৃতি অনুরাগী,,,"সিলেট, বাংলাদেশ",সংকীর্তনর ইতিহাস বারো ধারাহান যাঙ সুন্দরকরে বুজাদিসে। লেখাহান পাকরিয়া বহুত নুয়া কথা তামকরলাঙ।,Publish
আমার-মানুর-আদিকালর-বিশ্বাসর-বিবর্তনর-কথা-আকচুটি,,গবেষণা অনুরাগী,,,"মৌলভীবাজার, বাংলাদেশ",আমার মানুর আদিকালর বিশ্বাসর বিবর্তন লয়া এরে আলোচনা এহান খুব মূল্যবান। আরাকৌ এসাদে গবেষণামূলক লেখা ফঙউক।,Publish
মণিপুরী-চরিতাবলী-পর্ব-১-প্রভাস-সিংহ,,ইতিহাস অনুরাগী,,,"কমলগঞ্জ, বাংলাদেশ",আমার সমাজর গুণী মানুর চরিত এভাবে একলগে সংগ্রহ করানিগ প্রশংসনীয় কাম। নুয়া প্রজন্মর কাজে লেখাহান দরকারি দলিল অইতই।,Publish
একাত্তরে-আমার-প্রথম-মৃত্যু-মুক্তিযোদ্ধা-মন্ত্রী-কুমার-সিংহ,,নিংশিং চে পাঠক,,,"সিলেট, বাংলাদেশ",একাত্তরর এরে স্মৃতিহান হৃদয় ছুইল। মুক্তিযুদ্ধত আমার সমাজর অবদান আরাকৌ বিস্তারে ফঙউক।,Publish
মণিপুরীর-পুষারাকপা-ঘর-ইঞ্চৌ-প্রতাপ-সিংহ,,প্রবাসী পাঠক,,,"ত্রিপুরা, ভারত",ইঞ্চৌঘরর গঠন বারো সংস্কৃতির কথা পাকরিয়া পুরানা দিনের কথা মনত পড়ল। ছবিসহ লেখাহান বহুত সুন্দর।,Publish
মণিপুরির-মিংকৌ-পরিচিতি-হেমন্ত-কুমার-সিংহ,,ইমার ঠারর পাঠক,,,"আসাম, ভারত",মণিপুরির মিংকৌ পরিচিতি লয়া এরে তথ্যহানি সংরক্ষণ করানিগ খুব দরকারি কাম। লেখকরে আন্তরিক ধন্যবাদ।,Publish
নিয়মসেবা-বারো-বিষ্ণুপ্রিয়া-মণিপুরি-সমাজে-লেইরিক-থিকরানি-সংস্কৃতির-বিবর্তনর-ইতিহাস,,সংস্কৃতি অনুরাগী,,,"মৌলভীবাজার, বাংলাদেশ","নিয়মসেবা বারো লেইরিক থিকরানির বিবর্তন যেভাবে লেঙকরিসে, অতা খুব মনোগ্রাহী। ইমার সংস্কৃতি বাঁচানির কাজে এরে লেখা মূল্যবান।",Publish
হত্তরমিঞা-আউর-অর্চনা-সিনহা,,সাহিত্যপ্রেমী,,,"সিলেট, বাংলাদেশ","ওয়ারিহানর ঠার, চরিত্র বারো হাসির ঢঙ বহুত ভাল লাগল। আরাকৌ এসাদে ওয়ারি ফঙউক।",Publish
মহা-রাসলীলা-শ্রী-নবকুমার-সিংহ,,সংস্কৃতি অনুরাগী,,,"কমলগঞ্জ, বাংলাদেশ",মহা রাসলীলার ইতিহাস বারো আধ্যাত্মিক তাৎপর্য সুন্দরকরে থোয়া অসে। লেখাহান পাকরিয়া বহুত ভাল লাগল।,Publish
বেয়াপার-মাঙগ-অনা-বা-ঋতুস্রাব-পলাশ-সিংহ-হিমাদ্র,,স্বাস্থ্য সচেতন পাঠক,,,"মৌলভীবাজার, বাংলাদেশ",সমাজর জরুরি স্বাস্থ্য বিষয় আহান ইমান সহজকরে মাতানিরকা লেখকরে ধন্যবাদ। এরে লেখা হাবি ঘরে পাকরানি দরকার।,Publish
