<<<<<<< HEAD
﻿title,image,category,description
মণিপুরী সংকীর্তন — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhyRevjdQ8KzyUNDqO7ovhdNnSxRZNGEDCuWmh8MBiOo4olWUh-NsqNe8CGCBR1QPPgryh1KvFTNAoSO-tg3JCR7YCV865t2ZcpoSPBw44A-iBfWA5BIyt3zI9X5PyreWUbh6RhMTh8KBBeCJJ_KLd0y3-zL8P2wWwNK4ACCcAB0lC5M27yIPQpQyXXc3s/s1536/Boishnab-Sangkirtan.png,ধর্ম,নিংশিং চে-তে প্রকাশিত “মণিপুরী সংকীর্তন” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১১ আগস্ট ২০২৫।
আমার মানুর আদিকালর বিশ্বাসর বিবর্তনর কথা আকচুটি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgvDXuFfDF73BGaRiGeSmJu8aaVi4bgkdN3YCmzkQdyxYxPU3GP4nC9mE2ajRc_seT-OUTb3BMei-Y6XrYUIUQBQAxVR_AP_Eg210E0lIIGu9RqZOSvTkX0Aed2QYZoDXs2eCOr0efGTD77uK4rKMaKR5ybZ_aGc9vjaHn9dgLZKYPWZivT8C4N9_J6J9Q/s1531/Manipuri-cultural-revolution.png,রকমারি,নিংশিং চে-তে প্রকাশিত “আমার মানুর আদিকালর বিশ্বাসর বিবর্তনর কথা আকচুটি” লেখাটির ফিচার্ড ছবি। লেখক: সুকান্ত সিংহ; প্রকাশ: ১১ আগস্ট ২০২৫।
মণিপুরী চরিতাবলীঃ পর্ব-১ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgSKWaWCR_TEsKto3m00Pq3_cGzwRp7gri2_NCWqqIKu6aUWLaKKx9CN1pFt9X1Tfmgumv1poaRgO879-GVjsk-5wLHgbt17d5SAY2ry0WlI9TF6OUM3_tK7dgvxmRFg0RGaJrRVruwxLqUt-6d5GmRBuJkJcGGz4k9HDXfucwFSHoPTiGIcGRCCI4NrgKk/s1263/Gokulananda_Gitiswami-Art-Portrait-ningshingche.png,ইতিহাস,নিংশিং চে-তে প্রকাশিত “মণিপুরী চরিতাবলীঃ পর্ব-১” লেখাটির ফিচার্ড ছবি। লেখক: প্রভাস চন্দ্র সিংহ; প্রকাশ: ২৭ জুলাই ২০২৫।
একাত্তরে আমার প্রথম মৃত্যু — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjbYuxG52RjS3gVYjqqqBKXPC5JSyxo_IT7u-zc-j19FKKOUznXF0sIYC3bacejVp_sJvyMFvI3Tah8fI2mBdEu8fJs3zDT_JUtNqnFEGyd2IXsgvnyWIk7chYwc88OICX7TTBgzVwj38um7m5PDdG3Tev9nWq8BQSe33oqJPHkcg_m1vGYGGo_SkMSBegX/s1021/%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81.png,স্মৃতিচারণ,নিংশিং চে-তে প্রকাশিত “একাত্তরে আমার প্রথম মৃত্যু” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ২৭ জুলাই ২০২৫।
মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’ — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiX5Eb3-HNsbbXhyphenhyphenfBJy6_Gd5KAD-VA27sJvJtgGDhOem2RzyQy_sIcWETrhke-kPBhTKJFeHaZDc5RUawmXcaHKtXe0K3JiK8eCPC8bY3bPss4v8Zh_u0jU5plPmTO2kTwosRYXoGYCFMeyF7oDLCpMdrqu5CB_2g8X-swyWJPiBqwCs9c-1EfCIBEISWD/s1536/Manipuri-Inchao-Ghor-Pratap-Singha-ningshingche.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখাটির ফিচার্ড ছবি। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — সামনের দৃশ্য,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhlI9UCuacNm_4uN7RfIBJdBwHX6-5dEcHF0TtxRsiEvKsvqliQWlfaJwmA7NxIAMiuybCk0L_kr29oN-y1ycYhAy5JId3CjDHWEeKv4INVYwBgxY-5YXnQthRdWWll0N1g_SI5tC-IG6Itmt3rwrYvXuBBPAfJlocY1_Rh12VLFEwAXLzQXxuiv_8h_7F_/s1284/incchou-1.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত ইঞ্চৌ ঘরের সামনের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — বারান্দা ও সম্মুখভাগ,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEheff2gBc2vnn8TIelv-AsCmkkCI5t9cSIryqQlPJkd91aPo7x_g-NAmZMoGSFn6kBdVxdktPa-ZOdDkwBFrZkZGInMsi8KGho0xRUyGtbC-TKmCjrwAsWO2s2uxmRMpD5iRu2ODN-qL54V0xFJijwGDxauGrQxRz0dE9MuduXGnrXTpf6wmj3fHLgrBlwC/s1036/incchou-4.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত ইঞ্চৌ ঘরের বারান্দা ও সম্মুখভাগের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — আঙিনাসহ দৃশ্য,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgwjvorD3Vz3a72M_7-1N7DQtYzQs7fuJMppjJpcRfbH9A5p_8MMLYzPdkS8UGZN0KQ6Eo-bDdE9dv9JxsdaibbNOY6S28DDLIgN8WQubtW_hFkKGW0QIxJ8jiEzhItPdka8LiaKxv0wpJp6IHx0gAypbbrrBfcsNCnnUUR-uqbpcZaWcCtFI7RP-q4_hKV/s1036/incchou-3.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত আঙিনাসহ দুটি ইঞ্চৌ ঘরের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ইঞ্চৌ ঘর — বাসিন্দাদের সঙ্গে দৃশ্য,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi-RpjBNOQDGZcs98MDFQcbPmO8OwpdGoZLr8LMEFv3Qhg91iGepUNSyHMSpR9_7heCLNbxtSHnjjPWYMqwLpoHFAhg4l_BtaTmPsq9f1LfbiKaf0t631CXhJTlxCF6W7dx8kS-VGFhhvx62MacnxCEmq8Ik47JKGYbsIBkQZOGwYt3_axPeO6_Lbzg8bJg/s1036/incchou-2.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত বাসিন্দাদের সঙ্গে ইঞ্চৌ ঘরের দৃশ্য। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
ঐতিহ্যবাহী ইঞ্চৌ ঘরের নকশা,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjF1p5fF595LIPzztDqfp33mQG0dU490-jBk0ZxDgoUiEgdRu-REn6FENV4d2o1gHcehRZ0CP71ybeF8Ecnlj1ogrrl4O4A_I-o8bhmo2MJFQ_imI_YYbz6p5R1at34ITdDQqbBh32nyOuEWYhPPrIYeVTAzXA3I9sZ3yLgWwEM2hOnQjleNuhdcFXaawVK/s1773/inchao%20ujjal%20da.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরীর পুষারাকপা ঘর ‘ইঞ্চৌ’” লেখায় ব্যবহৃত স্থপতি উজ্জ্বল সিংহের অঙ্কিত ঐতিহ্যবাহী ইঞ্চৌ ঘরের নকশা। লেখক: প্রতাপ সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
